2025-04-10 12:07:46,978 - INFO - Simulation started with 15 sheep and 50 rounds.
2025-04-10 12:07:52,049 - DEBUG - Sheep moved to (3.14, -0.23).
2025-04-10 12:07:52,049 - DEBUG - Sheep moved to (11.79, -3.66).
2025-04-10 12:07:52,049 - DEBUG - Sheep moved to (3.43, -9.96).
2025-04-10 12:07:52,050 - DEBUG - Sheep moved to (-8.03, 2.25).
2025-04-10 12:07:52,050 - DEBUG - Sheep moved to (7.38, 5.22).
2025-04-10 12:07:52,050 - DEBUG - Sheep moved to (-2.31, 2.58).
2025-04-10 12:07:52,050 - DEBUG - Sheep moved to (-7.82, 3.65).
2025-04-10 12:07:52,050 - DEBUG - Sheep moved to (-1.90, 9.99).
2025-04-10 12:07:52,050 - INFO - Wolf chasing sheep at (3.43, -9.96).
2025-04-10 12:07:52,090 - DEBUG - Round 17 started.
2025-04-10 12:07:52,090 - DEBUG - Sheep moved to (-8.99, -3.58).
2025-04-10 12:07:52,090 - DEBUG - Sheep moved to (-8.85, 8.21).
2025-04-10 12:07:52,090 - DEBUG - Sheep moved to (6.29, 8.65).
2025-04-10 12:07:52,090 - DEBUG - Sheep moved to (3.14, -0.73).
2025-04-10 12:07:52,091 - DEBUG - Sheep moved to (11.79, -4.16).
2025-04-10 12:07:52,091 - DEBUG - Sheep moved to (3.43, -10.46).
2025-04-10 12:07:52,091 - DEBUG - Sheep moved to (-7.53, 2.25).
2025-04-10 12:07:52,091 - DEBUG - Sheep moved to (6.88, 5.22).
2025-04-10 12:07:52,091 - DEBUG - Sheep moved to (-2.31, 3.08).
2025-04-10 12:07:52,091 - DEBUG - Sheep moved to (-7.82, 3.15).
2025-04-10 12:07:52,091 - DEBUG - Sheep moved to (-1.40, 9.99).
2025-04-10 12:07:52,091 - INFO - Wolf chasing sheep at (3.43, -10.46).
2025-04-10 12:07:52,129 - DEBUG - Round 18 started.
2025-04-10 12:07:52,129 - DEBUG - Sheep moved to (-8.49, -3.58).
2025-04-10 12:07:52,129 - DEBUG - Sheep moved to (-9.35, 8.21).
2025-04-10 12:07:52,129 - DEBUG - Sheep moved to (6.29, 9.15).
